conjungeeren        	kOnjYnx@r@n          
consente            	kOns@nt@            
consenteren         	kOns@nt@r@n          
continuatie         	kOntInya:ti         
contra              	kOntra:             
contrarie           	kOntra:ri           
contrary            	kOntra:ri           
converseerde        	kOnv@rs@rd@          
cootjes             	ko:tj@s             
copye               	ko:pi                
coridon             	ko:ridOn            
couplet             	kupl@t             
credit              	kr@dIt              
crelis              	kr@lIs              
cyteeren            	sit@r@n              
daad                	da:t                
daag                	da:x                
daanschouwers       	da:nsxAuw@rs        
daar                	da:r                
daarom              	da:rOm              
dadvocaat           	dAdvo:ka:t            
daer                	da:r                
daerde              	da:rd@              
daerom              	da:rOm              
daet                	da:t                
dag                 	dAx                 
dagen               	da:x@n               
dak                 	dAk                 
damon               	da:mOn               
dan                 	dAn                 
dander              	dAnd@r               
dandere             	dAnd@r@              
dank                	dAnk                
dankje              	dAnkj@              
darde               	dArd@              
darme               	dArm@              
darrem              	dArr@m             
dartele             	dArt@l@            
das                 	dAs                 
dat                 	dAt                 
datj                	dAtj                
datje               	dAtj@               
datmen              	dAtm@n              
dato                	da:to:               
dats                	dAts                
dattestanten        	dAt@stAnt@n         
datze               	dAtz@               
dauws               	dAuws               
davecaet            	dAv@ka:t             
davocaaten          	dAvOkAt@n           
de                  	d@                  
dee                 	d@                  
deed                	d@t                 
deeden              	d@d@n               
deel                	d@l                 
deele               	d@l@                
deen                	d@n                 
deene               	d@n@                
deer                	d@r                 
deerste             	d@rst@              
dees                	d@s                 
deeze               	d@z@                
deezen              	d@z@n               
deezer              	d@z@                
deezes              	d@z@s               
defloratie          	d@flo:rAti          
defloravit          	d@flo:ra:vIt         
deisch              	dEis                 
deischer            	dEis@r              
demonstreeren       	d@mOnstr@r@n        
den                 	d@n                 
dende               	d@nd@               
denegatie           	d@n@xa:ti            
denk                	d@nk                
denken              	d@nk@n              
denkt               	d@nkt               
der                 	d@r                  
derde               	d@rd@                
des                 	d@s                 
dese                	d@s@                
deselve             	d@s@lv@             
desen               	d@s@n               
deugd               	d2:xt                
deugden             	d2:xd@n              
deugdzaem           	d2:xdza:m            
deun                	d2:n                 
deur                	d2:r                 
deurtrapt           	d2:rtrApt            
dewyl               	d@wil               
deze                	d@z@                
dezelve             	d@z@lv@             
dezen               	d@z@n               
dezer               	d@z@r                
dezes               	d@z@s               
dicam               	dikam                
dicht               	dIxt                
dichte              	dIxt@               
dicteeren           	dIkt@r@n            
didrik              	didrIk              
die                 	di                  
diefje              	difj@               
diek                	dik                 
dien                	din                 
dienaar             	dina:r              
dienen              	din@n               
dienst              	dinst               
dienstbereiden      	dinstb@rEid@n         
dienste             	dinst@              
dient               	dint                
diepe               	dip@                
dieper              	dip@r                
diergelyk           	dirx@lIk            
dies                	dis                 
dik                 	dIk                 
dikketons           	dIkk@tOns           
dikmaals            	dIkma:ls            
dilay               	dIlAi               
diminueeren         	diminy@r@n           
ding                	dIN                 
dingen              	dIN@n               
dirk                	dIrk               
discoerzen          	dIskurz@n           
discoreeren         	dIskOr@r@n         
discurreeren        	dIskyr@r@n           
distinctelyk        	dIstInkt@lIk        
itto                	Ito:                
doch                	dOx                 
docht               	dOxt                
dochter             	dOxt@r               
dochters            	dOxt@rs              
doctoor             	dOkto:r             
doe                 	du                  
doeje               	duj@                
doek                	duk                 
doeken              	duk@n               
doelen              	dul@n               
doen                	dun                 
doende              	dund@               
doenmaals           	dunma:ls            
doet                	dut                 
dog                 	dOx                 
dol                 	dOl                 
donker              	dOnk@r               
donnosle            	dOno:sl@             
dood                	do:t                
doodelyk            	do:d@lIk            
doof                	do:f                
doogen              	do:x@n              
doolen              	do:l@n              
doop                	do:p                
door                	do:r                
dooren              	do:r@n              
doorgronden         	do:rxrOnd@n         
doorleezen          	do:rl@z@n           
dooven              	do:v@n              
dorp                	dOrp               
douwe               	dAuw@               
douwen              	dAuw@n              
draad               	dra:t               
draag               	dra:x               
draajen             	dra:i@n             
draaven             	dra:v@n             
draed               	dra:t               
draegen             	dra:x@n             
draelen             	dra:l@n             
drasbroek           	drAsbruk            
dreigt              	drEixt               
drek                	dr@k                
drie                	dri                 
drift               	drIft               
driften             	drIft@n             
drilhuis            	drIlh9ys            
drillen             	drIl@n              
dringende           	drIN@nd@            
drink               	drInk               
drinken             	drInk@n             
droefheid           	drufhEit             
droes               	drus                
droeve              	druv@               
drogen              	drOx@n              
drok                	drOk                
drommel             	drOm@l              
droog               	dro:x               
drooge              	dro:x@              
droogen             	dro:x@n             
drooger             	dro:x@r              
drooghals           	dro:ghAls            
droomde             	dro:md@             
droomen             	dro:m@n             
dropje              	drOpj@              
drucken             	drYk@n              
druilen             	dr9yl@n             
druipen             	dr9yp@n             
drukken             	drYkk@n             
drygt               	drixt               
dubbeld             	dYb@lt              
ducatons            	dykatOns             
duigen              	d9yx@n              
duiker              	d9yk@r               
duim                	d9ym                
duitspraak          	d9ytspra:k          
dun                 	dYn                 
dunkt               	dYnkt               
dupliceerende       	duplIs@r@nd@        
duplycq             	dYplik             
durf                	dYrf               
durven              	dYrv@n             
dus                 	dYs                 
dwang               	dwAN                
dwars               	dwArs              
dwingen             	dwIN@n              
dwong               	dwON                
dyk                 	dik                 
echt                	@xt                  
echter              	@xt@r                 
eclipseert          	@klIps@rt           
edelman             	@d@lmAn             
ee                  	@                   
eed                 	@t                  
een                 	@n                  
eenen               	@n@n                
eener               	@n@r                 
eenig               	@nIg                
eenige              	@nIg@               
eenigste            	@nIxst@             
eenlyk              	@nlIk               
eenmaal             	@nma:l              
eenmael             	@nma:l              
eenpaarig           	@npa:rIg            
eens                	@ns                 
eensdeels           	@nsd@ls             
eer                 	@r                  
eerbied             	@rbit               
eerder              	@rd@r                
eeren               	@r@n                
eerlyk              	@rlIk               
eerst               	@rst                
eerste              	@rst@               
eersten             	@rst@n              
eertj               	@rtj                
eertje              	@rtj@               
eerws               	@rws                
