V/C/P;letter;default/rules;number;description;rule;replaced;replaceby
C;l;rules;2.0;followed by ijken, einde woord (ijken);['l','V=i','C=j','C=k','V=e','C=n',0];lijken;lIk@n
C;l;rules;8.0;l followed by yk, end of word (yk);['l','V=y','C=k'];lyk;lIk
C;l;rules;7.0;l followed by yke, end of word (yke);['l','V=y','C=k','V=e'];lyke;lIk@
C;l;rules;6.0;l followed by yken, end of word (yken);['l','V=y','C=k','V=e','C=n'];lyken;lIk@n
C;m;default;0.0;no rule found;['m'];m;m
C;m;rules;1.0;m followed by m;['m','C=m'];mm;m
C;n;default;0.0;no rule found;['n'];n;n
C;n;rules;1.0;n followed by n;['n','C=n'];nn;n
C;n;rules;2.0;n followed by g;['n','C=g'];ng;N
C;p;default;0.0;no rule found;['p'];p;p
C;p;rules;1.0;p followed by p;['j','C=j'];pp;p
C;q;default;0.0;No rule found;['q'];q;k
C;q;rules;1.0;q followed by u ;['q','V=u'];qu;kw
C;q;rules;2.0;q followed by q;['q','C=q'];qq;k
C;r;default;0.0;no rule found;['r'];r;r
C;r;rules;1.0;r followed by r;['r','C=r'];rr;r
C;s;default;0.0;no rule found;['s'];s;s
C;s;rules;1.0;s followed by s;['s','C=s'];ss;s
C;s;rules;4.0;s followed by ch (einde woord);['s','C=c','C=h',0];sch;s
C;s;rules;2.0;s followed by che (einde woord);['s','C=c','C=h','V=e',0];sche;s@
C;s;rules;5.0;s followed by ch (midden woord);['s','C=c','C=h'];sch;sx
C;s;rules;3.0;s followed by che (midden woord);['s','C=c','C=h','V=e'];sche;sx@
C;s;rules;6.0;s followed by h;['s','C=h'];sh;sj
C;t;default;0.0;no rule found;['t'];t;t
C;t;rules;1.0;t followed by t;['t','C=t'];tt;t
C;t;rules;2.0;t followed by h;['t','C=h'];th;t
C;v;default;0.0;no rule found;['v'];v;v
C;v;rules;2.0;v followed by v;['v','C=v'];vv;w
C;v;rules;3.0;last letter;['v',0];v;f
C;w;default;0.0;no rule found;['w'];w;w
C;w;rules;1.0;followed by w;['w','C=w'];ww;w
C;x;default;0.0;no rule found;['x'];x;ks
C;x;rules;1.0;x followed by x;['x','C=x'];xx;ks
C;z;default;0.0;no rule found;['z'];z;z
C;z;rules;1.0;last letter;['z',0];z;s
C;z;rules;3.0;z followed by z;['z','C=z'];zz;z
P;a;default;1.0;aarts prefix;['a','V=a','C=r','C=t','C=s'];aarts;a:rts
P;a;default;2.0;anti prefix;['a','C=n','C=t','V=i'];anti;Anti
P;a;default;3.0;auto prefix;['a','V=u','C=t','V=o'];auto;Auto:
P;e;default;4.0;ex prefix;['e','C=x'];ex;Eks
P;g;default;5.0;ge prefix;['g','V=e'];ge;gE
P;h;default;6.0;hyper prefix;['h','V=y','C=p','V=e','C=r'];hyper;hipEr
P;i;default;7.0;inter prefix;['i','C=n','C=t','V=e','C=r'];inter;IntEr
P;n;default;8.0;neo prefix;['n','V=e','V=o'];neo;ne:o:
P;n;default;9.0;non prefix;['n','V=o','C=n'];non;nOn
P;o;default;12.0;on prefix;['o','C=n'];on;On
P;o;default;10.0;opper prefix;['o','C=p','C=p','V=e','C=r'];opper;OpEr
P;o;default;11.0;oud prefix;['o','V=u','C=d'];oud;Aut
P;p;default;14.0;post prefix;['p','V=o','C=s','C=t'];post;pOst
P;p;default;15.0;pre prefix;['p','C=r','V=e'];pre;pre:
P;p;default;16.0;pro prefix;['p','C=r','V=o'];pro;pro:
P;p;default;13.0;pseudo prefix;['p','C=s','V=e','V=u','C=d','V=o'];pseudo;ps9ydo:
P;s;default;18.0;sub prefix;['s','V=u','C=b'];sub;sYp
P;s;default;17.0;super prefix;['s','V=u','C=p','V=e','C=r'];super;sypEr
P;u;default;19.0;ultra prefix;['u','C=l','C=t','C=r','V=a'];ultra;Yltra:
P;v;default;20.0;vice prefix;['v','V=i','C=c','V=e'];vice;vise:
P;w;default;22.0;wan prefix;['w','V=a','C=n'];wan;wAn
P;v;default;21.0;v prefix;['v'];v;v
P;z;default;23.0;z prefix;['z'];z;z
